"Data Source","World Development Indicators",

"Last Updated Date","2019-10-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","5774.75781091905","6928.58590076336","8566.36792817459","10117.3703639238","10975.3221110683","12046.1231004004","12516.7023765418","13218.3213947026","14374.658866158","14476.1167225641","14559.5306591352","15636.1000957173","16895.9069401784","16912.1399463107","18248.9363908449","17924.2653023181","16894.4766201138","18140.29817595","19503.2802846397","16199.5948526542","20567.5269755807","19423.4289547917","23229.6136142841","21289.6465965738","19741.1498025232","19960.5212081805","21038.1511215337","20841.4894714632","21891.5039039642","21961.0988107822","21368.8048892044","21385.4516647685","",
"Afghanistan","AFG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","149.791092076051","152.754344456459","130.011846232879","137.227494382506","166.003330994555","177.132417358071","187.16274884271","212.379471853852","234.510638822661","259.903334430865","255.632511418235","248.773980366141","","","","","","","","","","","","","","","","","","","","","","","","","","","","385.89439926146","477.307009334445","517.448447969817","554.779215461641","550.956700730074","529.876402284246","502.276410354138","465.841582799299","466.079081442157","",
"Angola","AGO","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","414.092014646356","441.490911945896","354.944607504941","326.224028788111","527.856109491361","439.065222862949","530.157684270533","-18.4632596986165","17.2655548121598","-37.489741767845","89.3768882205569","77.0796123833546","131.904536152894","168.771178297475","42.2976271849525","4.33068138176489","109.244335248314","357.799021252648","437.003981001471","440.752797501964","563.934595548885","856.912210063052","819.694989192309","367.194821038533","735.380804655805","1108.33871700032","1494.24037701675","1789.73361521695","2113.86612095907","2498.70195078394","2341.46054260483","1949.11467982948","2148.27296890832","",
"Albania","ALB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","510.438138144127","507.910133728498","599.994299827674","565.02793553232","550.355134081807","576.550057077922","519.629707496445","279.542431709977","159.614862972802","330.790666392422","541.055844336276","708.500612233762","966.090950999103","675.38242905625","772.548937835888","981.675847929116","1074.70263303615","1223.10725695372","1343.23898611294","1743.11410050304","2232.46948340437","2500.85758285796","2808.97383742014","3333.99613973459","3961.89940591474","3622.3301479048","3530.69065641895","3853.16535339256","3644.84310274086","3937.27706112642","4038.01486536341","3560.78790690627","3776.11169399555","4105.15051492189","",
"Andorra","AND","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1351.7415878959","1476.89808902399","1478.18728147086","1367.97969288136","1340.00598442264","1324.33706356523","1267.07708213876","1274.95072432725","1240.99232526187","1228.58571170294","1642.33055787837","1591.67519701717","1718.13552695136","1683.77991949356","1649.20973710857","1739.28632044497","1857.71089980857","1938.21504857949","1892.05320615331","1958.77368467505","2078.52519933175","2061.57413935533","2060.35825662122","2221.16542059934","2513.89648988446","2925.21791520036","3402.88077078142","3956.79317642286","4790.96964607867","4223.65816186336","4792.27906491821","5416.62355242761","5905.72963360602","5951.00243026116","6035.72950015763","5445.67721650354","5294.68536323707","5247.98641382651","",
"United Arab Emirates","ARE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30680.2937625272","28940.3778450192","28249.2482555111","29500.4258974294","32307.054289779","33402.2558381431","35940.371519089","36627.751524836","37339.636199194","27355.8638768273","30537.8169423028","34564.7782410258","36057.06657734","38070.070198877","39332.0313933222","35654.4747789608","35465.4051840163","37374.460621026","",
"Argentina","ARG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1197.10543778724","1306.3805690486","1301.46345813383","1975.98722774213","2656.88936100494","1901.84944808652","1792.74116847864","1948.9312027412","1952.94677474049","2234.04385931508","2418.42755855583","2408.18268817742","2476.9836971708","3019.68003566365","2257.13073375547","2480.58042345649","3170.33650523398","3097.1460743092","3490.21859338145","1925.58313501301","3715.73814527826","5094.71616392288","6183.89776354726","6352.53407415275","6793.72483565538","6624.19474627384","6884.77694973903","7141.26366289176","7212.58691902865","6654.63643574654","6542.99969105794","6089.74005476677","1977.68205379206","2675.96783650004","3176.81445793437","3794.10281732688","4893.93604780679","6111.50230172939","7607.62301729482","6956.11565041395","8810.35921254626","11008.5245923218","11250.0213824603","11255.0213809005","10607.4064579275","12003.3511569389","11006.0293064112","12365.9012994312","",
"Armenia","ARM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","470.769887669664","","","539.692801309875","606.000764225012","682.8307838151","815.85869638137","1047.87190022378","1475.6137270403","1959.74687437994","2886.8936814375","3742.40779012271","2723.94683144041","2918.10165338306","3138.26296568249","3274.12257829203","3509.20642249429","3587.53046881094","3181.17642230454","3084.60565808116","3412.08014763168","",
"American Samoa","ASM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
